 2016-11-23 23:42:39--> Network OK, will send mail...
 2016-11-23 23:45:58--> Network not ready, wait...
 2016-11-23 23:45:59--> Network not ready, wait...
 2016-11-23 23:46:00--> Network not ready, wait...
 2016-11-23 23:46:01--> Network not ready, wait...
 2016-11-23 23:46:02--> Network not ready, wait...
 2016-11-23 23:46:04--> Network OK, will send mail...
 2016-11-24 00:04:01--> Network not ready, wait...
 2016-11-24 00:04:02--> Network not ready, wait...
 2016-11-24 00:04:03--> Network not ready, wait...
 2016-11-24 00:04:04--> Network not ready, wait...
 2016-11-24 00:04:05--> Network not ready, wait...
 2016-11-24 00:04:07--> Network OK, will send mail...
 2016-11-24 00:05:38--> Network not ready, wait...
 2016-11-24 00:05:39--> Network not ready, wait...
 2016-11-24 00:05:40--> Network not ready, wait...
 2016-11-24 00:05:41--> Network not ready, wait...
 2016-11-24 00:05:42--> Network not ready, wait...
 2016-11-24 00:05:44--> Network OK, will send mail...
 2016-11-24 00:11:05--> Network  finish...
 2016-11-24 00:20:31--> Network OK, will send mail...
 2016-11-24 00:20:31--> Network  finish...
